ranking,edition,rank,overall_score,employability,entrepreneurship_alumni_outcomes,roi,thought_leadership,diversity,alumni_outcomes,value_for_money,source_file
QS Global MBA,2024,85,57.6,48.6,32.9,98.8,43.9,75.8,,,2024 QS Global MBA Rankings Results export
QS Global MBA,2025,78,60.4,52.4,40.5,97.9,44.9,67.8,,,2025 QS Global MBA and Business Masters Results export
QS Global MBA,2026,84,59.4,50.3,35.1,99.3,45.3,76.9,,,2026 QS Global MBA and Business Masters Results export
QS Management,2025,75,52.0,57.7,,,49.6,67.3,31.2,64.7,2025 QS Global MBA and Business Masters Results export
QS Management,2026,100,51.1,57.9,,,51.4,64.2,30.9,60.1,2026 QS Global MBA and Business Masters Results export
